Date,Open,High,Low ,Close,Volume
28-Dec-18,1123.3,1135.9,1122,1125.8,343132
27-Dec-18,1105,1125.9,1104.45,1120,454773
26-Dec-18,1087,1100.65,1066.55,1096.95,474923
24-Dec-18,1101.8,1103,1086.5,1090.05,270421
21-Dec-18,1128.3,1131.4,1095,1098.35,835175
20-Dec-18,1124,1131.95,1116.5,1127.25,306576
19-Dec-18,1138.65,1146.55,1131.4,1137.1,1116276
18-Dec-18,1122,1139.5,1120.8,1136.45,300671
17-Dec-18,1114.7,1133.8,1110.3,1130.6,374864
14-Dec-18,1103.9,1115,1092.6,1111.75,384977
13-Dec-18,1125.6,1126.35,1096.55,1106.8,632140
12-Dec-18,1100,1113.35,1088.1,1110.5,1035909
11-Dec-18,1066.1,1100.2,1055.35,1096.2,957115
10-Dec-18,1112.65,1112.75,1084,1088.5,1104729
07-Dec-18,1132.8,1135.2,1109.1,1133.25,256042
06-Dec-18,1147.5,1147.85,1118.25,1123.45,249128
05-Dec-18,1144.7,1159,1139.6,1154.85,268318
04-Dec-18,1157,1157.4,1142.95,1151.55,206600
03-Dec-18,1172.05,1174,1148.65,1156.3,292260
30-Nov-18,1172,1186,1162.95,1168.2,454515
29-Nov-18,1159,1179.9,1158.8,1170,413830
28-Nov-18,1132.3,1157.7,1126.5,1146.25,1098006
27-Nov-18,1109.5,1129.4,1101.7,1127.5,264152
26-Nov-18,1109.95,1117.25,1098.05,1109.6,279608
22-Nov-18,1114.7,1125.1,1100,1102.85,360992
21-Nov-18,1137,1145.4,1107.05,1112.3,499461
20-Nov-18,1146,1155.45,1130.4,1138.65,472247
19-Nov-18,1132,1151.4,1131.2,1149.6,514395
16-Nov-18,1096.1,1129.3,1096.1,1127.5,702952
15-Nov-18,1096,1102.85,1087.1,1096.9,286257
14-Nov-18,1105,1112.85,1087,1096.1,420083
13-Nov-18,1075.9,1102.8,1071,1099.55,363436
12-Nov-18,1098.5,1100.05,1074.3,1078.75,259275
09-Nov-18,1106,1113.3,1086,1093.35,379720
07-Nov-18,1116.8,1117,1106.6,1110.55,99786
06-Nov-18,1094.3,1111.95,1093.05,1103.45,661149
05-Nov-18,1074,1093.5,1064.5,1088.55,5052059
02-Nov-18,1067.8,1081,1063,1074.25,4308094
01-Nov-18,1066.4,1068.8,1050.3,1056.9,393976
31-Oct-18,1064.7,1065.7,1047.65,1061.4,3153168
30-Oct-18,1087.45,1087.45,1052,1057.15,558189
29-Oct-18,1047.7,1093.15,1047,1088,535561
26-Oct-18,1040,1056.75,1022.15,1044.7,647855
25-Oct-18,1036,1040.05,1017,1030.2,704437
24-Oct-18,1074,1074.95,1031,1046.6,584557
23-Oct-18,1053,1064.5,1043.7,1052.6,527427
22-Oct-18,1111,1114.8,1057.35,1062.45,646574
19-Oct-18,1103.9,1110,1073.15,1101.65,1461537
17-Oct-18,1180,1180.95,1141,1148.9,1452993
16-Oct-18,1146.15,1168,1140.8,1163.65,464449
15-Oct-18,1133.3,1146.35,1119.25,1139.8,397762
12-Oct-18,1102.5,1129,1102,1126.4,446104
11-Oct-18,1067.8,1114.4,1043.05,1089.2,765397
10-Oct-18,1095,1114.7,1085.1,1102.35,404719
09-Oct-18,1121.1,1123.5,1080.75,1090.4,620130
08-Oct-18,1048.85,1115.35,1025.2,1107.95,1330634
05-Oct-18,1102.6,1115.55,1039.55,1049.85,1164483
04-Oct-18,1199,1199,1105.05,1120.55,1482416
03-Oct-18,1233.1,1239.75,1198.7,1205.3,430421
01-Oct-18,1258.2,1260,1204.3,1231.55,366797
28-Sep-18,1260,1271.1,1247.65,1258.2,648062
27-Sep-18,1259.8,1263.25,1238.6,1252.9,389427
26-Sep-18,1235.2,1254.1,1226.8,1251.75,337685
25-Sep-18,1233.3,1244.9,1195.75,1230.6,396784
24-Sep-18,1216,1239.9,1204.25,1232.3,451884
21-Sep-18,1220.05,1237.1,1183.2,1216.85,566364
19-Sep-18,1225,1227,1201.2,1210.3,861320
18-Sep-18,1224,1238.9,1214.25,1217.2,314415
17-Sep-18,1251.9,1251.9,1220.5,1226.25,371950
14-Sep-18,1261,1275,1248.55,1252.8,294230
12-Sep-18,1244.45,1257.65,1229.85,1252.7,459285
11-Sep-18,1260,1267.75,1235,1238.45,366025
10-Sep-18,1275,1276.75,1251.55,1257.15,343489
07-Sep-18,1267.7,1279.9,1254.85,1276.75,430464
06-Sep-18,1230,1263.8,1226,1260.15,558949
05-Sep-18,1245,1252.45,1210,1225.8,1203980
04-Sep-18,1235,1254.75,1230,1242.35,433632
03-Sep-18,1249,1258,1227.5,1230.4,1220847
31-Aug-18,1273.8,1273.8,1237.05,1240.95,1284024
30-Aug-18,1300,1300,1270.45,1274.1,1802595
29-Aug-18,1319,1328.75,1290.3,1294.45,570571
28-Aug-18,1298.75,1323,1295.5,1318.2,484736
27-Aug-18,1280.05,1296.2,1280,1291.6,288953
24-Aug-18,1265,1280,1260.9,1278.05,378371
23-Aug-18,1244,1273.55,1238.6,1269.7,364123
21-Aug-18,1236,1251,1227.15,1246.5,427978
20-Aug-18,1206.5,1238.05,1206.5,1234.9,561333
17-Aug-18,1206,1215,1200.25,1203.45,190969
16-Aug-18,1206.4,1215.7,1196.25,1200.2,323707
14-Aug-18,1187.2,1216.4,1185.25,1210.95,313057
13-Aug-18,1203,1203,1183.05,1187.15,223453
10-Aug-18,1215,1215.3,1201.95,1204,171098
09-Aug-18,1220,1231.5,1212,1217.95,528555
08-Aug-18,1188.4,1222,1186,1217.25,477703
07-Aug-18,1196,1200,1178.3,1183.55,210322
06-Aug-18,1180,1196,1174.85,1191.5,267933
03-Aug-18,1175,1183.85,1169.5,1176.75,278816
02-Aug-18,1192.35,1194.5,1166,1168.35,280942
01-Aug-18,1195,1202.95,1185.95,1191.15,510625
31-Jul-18,1150,1190,1145,1185.85,1165189
30-Jul-18,1136,1157.55,1126.6,1149.7,713184
27-Jul-18,1117.2,1137,1112.8,1129.6,447361
26-Jul-18,1113,1121,1107.7,1110.35,154028
25-Jul-18,1112.25,1122.3,1104.55,1114.05,265010
24-Jul-18,1122,1126.1,1107.65,1110.55,305391
23-Jul-18,1129.7,1130,1114,1120.15,205750
20-Jul-18,1110.5,1138.25,1110.5,1128.55,446801
19-Jul-18,1095,1114,1086.8,1103.9,778552
18-Jul-18,1097.9,1104.5,1079,1090.55,278593
17-Jul-18,1079,1095,1069.15,1091.7,287860
16-Jul-18,1098.05,1108.5,1073,1076.15,446819
13-Jul-18,1082.9,1107.25,1080.9,1096.75,874481
